No.DB1;LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;Region;SLLL;SDUL;SSAT;clust4Org;clust3Org;clust3
213;-14.80972222;13.35972222;0.037533951;0.648553726;0.169492019;0.181674706;1.565511919;0.113490352;0.915734391;7.510505665;5.834416757;3;0.119946916;0.205975406;0.413141363;1;1;1
214;-14.72972222;12.75972222;0.051385802;0.515005076;0.265826922;0.219114174;1.453250322;0.157385823;1.573124238;9.638396203;5.564945677;3;0.149308992;0.264286309;0.446702909;4;3;2
215;-14.72972222;12.84972222;0.022138889;0.493438502;0.260289206;0.246177629;1.462568936;0.167173892;1.530615242;9.779215005;5.697302465;3;0.163736176;0.279986457;0.445657491;4;3;2
217;-14.72972222;13.01972222;0.042490741;0.520100695;0.263064145;0.216999137;1.495852454;0.102163228;1.787744298;10.17541765;5.513564543;3;0.150592205;0.266454658;0.454502005;4;3;2
218;-14.72972222;13.09972222;0.045104938;0.606589932;0.22948861;0.164049818;1.522610274;0.121348012;1.530859894;9.420203754;5.501824854;3;0.118247674;0.219046619;0.44240238;4;3;1
219;-14.72972222;13.18972222;0.052503086;0.609624955;0.212084743;0.178381975;1.530027864;0.080686495;1.787218739;10.19893145;5.573265703;3;0.129706285;0.230929459;0.449922679;4;3;1
220;-14.72972222;13.26972222;0.045287037;0.6335837;0.192530535;0.17386563;1.564988489;0.075675755;0.943723762;7.75415866;5.679621916;3;0.115853666;0.205547248;0.41595046;1;1;1
221;-14.72972222;13.35972222;0.050768519;0.649192682;0.156395903;0.194516856;1.585642442;0.066576896;0.783318512;6.210621752;5.65186096;3;0.125676321;0.209941481;0.407164621;1;1;1
222;-14.63972222;12.75972222;0.027132716;0.533621896;0.239269162;0.227045589;1.440332975;0.173066085;1.364104225;10.14377107;5.617684025;3;0.151473498;0.26055016;0.436012148;4;3;2
223;-14.63972222;12.84972222;0.034932099;0.54597988;0.233701866;0.220330857;1.465161594;0.133772443;1.184933331;8.680788239;5.647501345;3;0.145678871;0.251545882;0.42858247;4;3;2
224;-14.63972222;12.92972222;0.039203704;0.496000095;0.249966223;0.253925684;1.480222994;0.142459879;1.789918776;10.19300362;5.589798538;3;0.1706838;0.287526559;0.45370686;4;3;2
225;-14.63972222;13.01972222;0.028265432;0.55471744;0.255817407;0.189436651;1.511475766;0.09753794;1.800935882;10.60430149;5.607617239;3;0.13576603;0.247427486;0.45462401;4;3;1
226;-14.63972222;13.09972222;0.051645062;0.538655661;0.251061032;0.210316672;1.515453211;0.12072942;1.936645722;10.29323837;5.467367054;3;0.148777268;0.26281707;0.458727608;4;3;2
227;-14.63972222;13.18972222;0.045845679;0.612436836;0.20749097;0.180044612;1.52852101;0.085049251;1.248580053;8.326082603;5.615468177;3;0.12354465;0.219567989;0.428459082;1;1;1
228;-14.63972222;13.26972222;0.044407407;0.635705649;0.177252674;0.187112376;1.549996723;0.074885833;0.8883892;8.085826279;5.771089384;3;0.122800358;0.210875404;0.412468127;1;1;1
229;-14.55972222;12.75972222;0.034682099;0.503679656;0.258232035;0.238266651;1.424024256;0.147472248;1.284693469;9.914470275;5.579830918;3;0.156798857;0.270084814;0.436005981;4;3;2
230;-14.55972222;12.84972222;0.048777778;0.478171652;0.252288795;0.269452529;1.448867482;0.138388428;1.180512821;9.323695176;5.676795012;3;0.173154348;0.287809125;0.434719779;3;3;2
231;-14.55972222;12.92972222;0.056895062;0.532034574;0.24240678;0.225491564;1.458873927;0.118748385;1.727576531;10.06769548;5.540675155;3;0.154677823;0.266939846;0.449631867;4;3;2
232;-14.55972222;13.01972222;0.041209877;0.550496835;0.267317331;0.182259251;1.502263329;0.120035651;1.496060277;9.205691178;5.483222289;3;0.127967628;0.238576164;0.443618097;4;3;2
233;-14.55972222;13.09972222;0.04542284;0.577045925;0.239971224;0.183113104;1.526483186;0.108980613;1.079784994;8.883820661;5.49618904;3;0.123176034;0.224805088;0.424379301;1;1;1
234;-14.55972222;13.18972222;0.052762346;0.577227217;0.221303557;0.201593423;1.56958714;0.104261013;0.807614207;7.208672656;5.723739498;3;0.130410065;0.22858482;0.412779286;1;1;1
235;-14.55972222;13.26972222;0.051790123;0.578402847;0.214096868;0.207299473;1.56585639;0.098818929;0.844558587;6.864140414;5.702383228;3;0.134160767;0.232028962;0.413806436;1;1;1
