LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-15.72936576;12.52005484;0.011802575;0.347865762;0.248667655;0.169884304;1.054717467;0.104662179;1.735927542;9.425490218;4.117358355;102;2;0.123545841;0.281751283;0.477288063;1.32
-15.72722222;12.61416667;0.005;0.000995299;0.000757189;0.000630991;0.002381098;0.000345259;0.007071861;0.026906408;0.01238171;103;2;0.015746285;0.286885452;0.351321173;0.68
-15.72972222;12.68972222;0.047774691;0.482741038;0.301645569;0.215695192;1.375263413;0.131077463;2.611962483;16.86439745;5.523154764;104;2;0.158683741;0.288846349;0.492724887;1.32
-15.72972222;12.77972222;0.025138889;0.522332085;0.277742942;0.199970968;1.415130253;0.11410866;1.96517148;12.35049873;5.516183273;105;2;0.143332172;0.261950528;0.463589292;1.32
-15.72972222;12.85972222;0.035145062;0.398546292;0.288309627;0.313166893;1.442177871;0.117359299;1.944836784;11.10775648;5.479379449;106;2;0.202929782;0.330692219;0.469939133;0.23
-15.72972222;12.94972222;0.030308642;0.369335945;0.269422984;0.361179053;1.455760035;0.112743162;2.097045842;10.2558568;5.135882359;107;2;0.22905325;0.355063092;0.47650839;0.23
-15.72972222;13.02972222;0.040759259;0.355469416;0.306556323;0.338204673;1.447848925;0.121770494;1.686209205;9.894874288;4.905245731;108;2;0.213876019;0.343799511;0.469246527;0.23
-15.72972222;13.11972222;0.037348765;0.513383229;0.230006483;0.256504007;1.455784073;0.112945314;2.01006431;9.716190033;5.264485598;109;2;0.174530434;0.289472937;0.458221645;0.43
-15.72972222;13.19972222;0.021972222;0.557226744;0.196989607;0.245527321;1.501067632;0.087451284;1.67036237;10.93791368;5.210108512;110;2;0.165334628;0.270781473;0.441813741;0.43
-15.72972222;13.28972222;0.039592593;0.591920546;0.201377165;0.206692069;1.568875117;0.084880509;1.103010404;8.548952186;5.275051798;111;2;0.136946847;0.234166189;0.422066032;0.43
-15.64040876;12.5196093;0.010300813;0.425102437;0.246925679;0.164568891;0.919960927;0.09534673;1.66548976;9.69831072;4.486121579;112;2;0.120046563;0.261151844;0.465598087;1.32
-15.63972222;12.60972222;0.031839506;0.555873228;0.229206458;0.215082961;1.412704018;0.13344656;1.643750921;10.30293057;5.519972055;113;2;0.148093806;0.255964007;0.444819708;0.43
-15.63972222;12.68972222;0.048027778;0.45967421;0.275508551;0.264888998;1.393612709;0.130614108;2.259110221;13.72701639;5.69189911;114;2;0.180768619;0.306193808;0.474465897;1.32
