Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
82,CRDA1201,RICER048,1,1,2012-08-21,82,13.4,12,12.8,24.1,48.2,0.15,31.1,22.5,26.6,28,18.3,26.6,28,105,394.3,0,0,NA,2012-08-21
83,CRDA1201,RICER048,1,1,2012-08-22,83,8.6,12,12.8,18.9,37.8,0.34,28.6,23.4,25.9,26.7,21.3,25.9,26.7,259,394.3,0,0,NA,2012-08-22
84,CRDA1201,RICER048,1,1,2012-08-23,84,6.9,12,12.8,18.4,36.8,0.35,27.8,22.3,24.9,25.8,20.6,24.9,25.8,179,394.3,0,0,NA,2012-08-23
85,CRDA1201,RICER048,1,1,2012-08-24,85,9,12,12.8,20.6,41.2,0.28,30.3,22.2,26.1,27.4,19.5,26.1,27.4,76,394.3,0,0,NA,2012-08-24
86,CRDA1201,RICER048,1,1,2012-08-25,86,7.7,12,12.8,24.7,49.4,0.13,31.3,23.1,27,28.4,19.8,27,28.4,98,394.3,0,0,NA,2012-08-25
87,CRDA1201,RICER048,1,1,2012-08-26,87,21.3,12,12.8,7.3,14.6,0.74,29.4,23.9,26.5,27.4,22,26.5,27.4,96,394.3,0,0,NA,2012-08-26
88,CRDA1201,RICER048,1,1,2012-08-27,88,3.3,12,12.8,18.9,37.8,0.34,29.1,23.4,26.1,27.1,21.5,26.1,27.1,126,394.3,0,0,NA,2012-08-27
89,CRDA1201,RICER048,1,1,2012-08-28,89,8,12,12.8,25.2,50.4,0.12,30.6,23.1,26.7,27.9,20.4,26.7,27.9,113,394.3,0,0,NA,2012-08-28
90,CRDA1201,RICER048,1,1,2012-08-29,90,10.8,12,12.8,24.8,49.6,0.13,31.9,23.6,27.6,28.9,20.6,27.6,28.9,92,394.3,0,0,NA,2012-08-29
91,CRDA1201,RICER048,1,1,2012-08-30,91,8.3,12,12.8,9,18,0.69,28.8,24.1,26.3,27.1,22.6,26.3,27.1,150,394.3,0,0,NA,2012-08-30
92,CRDA1201,RICER048,1,1,2012-08-31,92,3.8,12,12.8,20.2,40.4,0.3,28.9,22.8,25.7,26.7,21,25.7,26.7,142,394.3,0,0,NA,2012-08-31
93,CRDA1201,RICER048,1,1,2012-09-01,93,16.8,12,12.8,19.1,38.2,0.34,28.8,23.4,26,26.9,21.7,26,26.9,204,394.3,0,0,NA,2012-09-01
94,CRDA1201,RICER048,1,1,2012-09-02,94,14.2,12,12.8,6,12,0.79,28.4,23,25.6,26.5,21.3,25.6,26.5,218,394.3,0,0,NA,2012-09-02
95,CRDA1201,RICER048,1,1,2012-09-03,95,9.4,12,12.8,19.5,39,0.32,29.9,21.4,25.5,26.8,18.6,25.5,26.8,155,394.3,0,0,NA,2012-09-03
96,CRDA1201,RICER048,1,1,2012-09-04,96,5.3,12,12.8,22.2,44.4,0.23,30.2,23,26.4,27.6,20.8,26.4,27.6,188,394.3,0,0,NA,2012-09-04
97,CRDA1201,RICER048,1,1,2012-09-05,97,18.6,12,12.8,8.2,16.4,0.72,28.7,23.7,26.1,26.9,22.2,26.1,26.9,173,394.3,0,0,NA,2012-09-05
98,CRDA1201,RICER048,1,1,2012-09-06,98,9.3,12,12.8,20.3,40.6,0.3,30.4,23.5,26.8,27.9,21.5,26.8,27.9,232,394.3,0,0,NA,2012-09-06
99,CRDA1201,RICER048,1,1,2012-09-07,99,17.1,12,12.8,24.5,49,0.15,30.2,22.1,26,27.3,19.6,26,27.3,136,394.3,0,0,NA,2012-09-07
100,CRDA1201,RICER048,1,1,2012-09-08,100,9.3,12,12.8,8,16,0.72,27.9,23.4,25.6,26.3,21.6,25.6,26.3,157,394.3,0,0,NA,2012-09-08
101,CRDA1201,RICER048,1,1,2012-09-09,101,13.4,12,12.8,17.1,34.2,0.41,30.2,23.6,26.8,27.8,21,26.8,27.8,73,394.3,0,0,NA,2012-09-09
102,CRDA1201,RICER048,1,1,2012-09-10,102,17,12,12.8,22.3,44.6,0.23,30.9,22.6,26.6,27.9,19.7,26.6,27.9,131,394.3,0,0,NA,2012-09-10
103,CRDA1201,RICER048,1,1,2012-09-11,103,4.3,12,12.8,22.1,44.2,0.24,28.1,23.5,25.7,26.4,21.6,25.7,26.4,131,394.3,0,0,NA,2012-09-11
104,CRDA1201,RICER048,1,1,2012-09-12,104,17.4,12,12.8,21.6,43.2,0.25,30.4,22.4,26.2,27.5,20.3,26.2,27.5,107,394.3,0,0,NA,2012-09-12
105,CRDA1201,RICER048,1,1,2012-09-13,105,9,12,12.8,20.4,40.8,0.3,31.1,23.8,27.3,28.5,20.7,27.3,28.5,92,394.3,0,0,NA,2012-09-13
